time,Xm
29.5,-7.221532104
29.6,-7.216657062
29.7,-7.211777335
29.8,-7.206892953
29.9,-7.202003945
30,-7.197110343
30.1,-7.192212176
30.2,-7.187309474
30.3,-7.182402268
30.4,-7.177490588
30.5,-7.172574464
30.6,-7.167653927
30.7,-7.162729008
30.8,-7.157799737
30.9,-7.152866146
31,-7.147928264
31.1,-7.142986123
31.2,-7.138039754
31.3,-7.133089188
31.4,-7.128134456
31.5,-7.12317559
31.6,-7.11821262
31.7,-7.113245578
31.8,-7.108274496
31.9,-7.103299405
32,-7.098320336
32.1,-7.093337323
32.2,-7.088350395
32.3,-7.083359585
32.4,-7.078364926
32.5,-7.073366448
32.6,-7.068364184
32.7,-7.063358166
32.8,-7.058348427
32.9,-7.053334998
33,-7.048317912
33.1,-7.043297202
33.2,-7.0382729
33.3,-7.033245038
33.4,-7.02821365
33.5,-7.023178768
33.6,-7.018140424
33.7,-7.013098652
33.8,-7.008053485
33.9,-7.003004955
34,-6.997953096
34.1,-6.99289794
34.2,-6.987839521
34.3,-6.982777872
34.4,-6.977713027
34.5,-6.972645018
34.6,-6.967573879
34.7,-6.962499643
34.8,-6.957422344
34.9,-6.952342015
35,-6.94725869
35.1,-6.942172404
35.2,-6.937083188
35.3,-6.931991079
35.4,-6.926896108
35.5,-6.921798311
35.6,-6.91669772
35.7,-6.911594371
35.8,-6.906488297
35.9,-6.901379532
36,-6.896268111
36.1,-6.891154067
36.2,-6.886037436
36.3,-6.880918251
36.4,-6.875796546
36.5,-6.870672358
36.6,-6.865545718
36.7,-6.860416664
36.8,-6.855285228
36.9,-6.850151446
37,-6.845015352
37.1,-6.839876982
37.2,-6.83473637
37.3,-6.829593551
37.4,-6.82444856
37.5,-6.819301433
37.6,-6.814152203
37.7,-6.809000908
37.8,-6.803847581
37.9,-6.798692258
38,-6.793534974
38.1,-6.788375765
38.2,-6.783214667
38.3,-6.778051714
38.4,-6.772886943
38.5,-6.767720389
38.6,-6.762552087
38.7,-6.757382074
38.8,-6.752210384
38.9,-6.747037054
39,-6.74186212
39.1,-6.736685618
39.2,-6.731507583
39.3,-6.726328052
39.4,-6.72114706
39.5,-6.715964645
39.6,-6.710780841
39.7,-6.705595686
39.8,-6.700409215
39.9,-6.695221465
40,-6.690032472
40.1,-6.684842272
40.2,-6.679650903
40.3,-6.6744584
40.4,-6.6692648
40.5,-6.664070139
40.6,-6.658874455
40.7,-6.653677784
40.8,-6.648480162
40.9,-6.643281627
41,-6.638082215
41.1,-6.632881964
41.2,-6.62768091
41.3,-6.622479091
41.4,-6.617276544
41.5,-6.612073305
41.6,-6.606869412
41.7,-6.601664903
41.8,-6.596459814
41.9,-6.591254183
42,-6.586048047
42.1,-6.580841444
42.2,-6.575634411
42.3,-6.570426986
42.4,-6.565219206
42.5,-6.560011109
