time,Xm
349,-10.9198
350,-10.9354
351,-10.9486
352,-10.9586
353,-10.9651
354,-10.9677
355,-10.9679
356,-10.9658
357,-10.9601
358,-10.9523
359,-10.9408
360,-10.9239
361,-10.9018
362,-10.8752
363,-10.8455
364,-10.8113
365,-10.7749
366,-10.7346
367,-10.6899
368,-10.6418
369,-10.5909
370,-10.535
371,-10.4776
372,-10.4156
373,-10.3519
374,-10.2845
375,-10.215
376,-10.1409
377,-10.0633
378,-9.9838
379,-9.89994
380,-9.81284
381,-9.72378
382,-9.633
383,-9.53896
384,-9.44124
385,-9.34179
386,-9.23952
387,-9.13356
388,-9.02609
389,-8.91537
390,-8.80378
391,-8.6896
392,-8.57411
393,-8.45602
394,-8.3362
395,-8.21421
396,-8.09006
397,-7.96504
398,-7.8385
399,-7.71153
400,-7.5826
401,-7.45217
402,-7.31999
403,-7.18696
404,-7.05348
405,-6.9185
406,-6.78372
407,-6.64809
408,-6.51136
409,-6.37551
410,-6.24009
411,-6.10402
412,-5.96881
413,-5.83296
414,-5.6984
415,-5.56406
416,-5.43081
417,-5.29798
418,-5.16408
419,-5.03299
420,-4.9006
421,-4.76995
422,-4.63864
423,-4.51037
424,-4.38232
425,-4.25643
426,-4.13162
427,-4.00877
428,-3.88635
429,-3.76566
430,-3.64822
431,-3.53057
432,-3.41703
433,-3.30414
434,-3.19277
435,-3.08292
436,-2.97718
437,-2.87253
438,-2.77091
439,-2.67145
440,-2.5746
441,-2.48013
442,-2.38869
443,-2.29877
444,-2.21319
445,-2.12868
446,-2.04873
447,-1.96986
448,-1.89619
449,-1.82577
450,-1.75795
451,-1.69403
452,-1.63163
453,-1.57313
454,-1.51723
455,-1.46566
456,-1.41777
457,-1.37314
458,-1.33262
459,-1.29513
460,-1.26047
461,-1.23035
462,-1.20283
463,-1.17878
464,-1.16036
465,-1.14411
466,-1.13176
467,-1.1218
468,-1.11746
469,-1.11465
470,-1.11508
471,-1.11573
472,-1.11963
473,-1.12678
474,-1.13826
475,-1.1556
476,-1.17856
477,-1.2063
478,-1.23772
479,-1.27238
480,-1.31052
481,-1.35234
482,-1.39871
483,-1.44746
484,-1.50054
485,-1.55536
486,-1.61365
487,-1.67627
488,-1.73954
489,-1.808
490,-1.87712
491,-1.95079
492,-2.02663
493,-2.10615
494,-2.18718
495,-2.27147
496,-2.35511
497,-2.44438
498,-2.53408
499,-2.62747
500,-2.72194
501,-2.81944
502,-2.91586
503,-3.01813
504,-3.12149
505,-3.22657
506,-3.33253
507,-3.44021
508,-3.54942
509,-3.66014
510,-3.77346
511,-3.88722
512,-4.00162
513,-4.11689
514,-4.23325
515,-4.35155
516,-4.46942
517,-4.58924
518,-4.70798
519,-4.82737
520,-4.9474
521,-5.06874
522,-5.18943
523,-5.31012
524,-5.43102
525,-5.55171
526,-5.67262
527,-5.79309
528,-5.91204
529,-6.03186
530,-6.15017
531,-6.26912
532,-6.38634
533,-6.50551
534,-6.62404
535,-6.74039
536,-6.85588
537,-6.96985
538,-7.08447
539,-7.19801
540,-7.30981
541,-7.4214
542,-7.53125
543,-7.63916
544,-7.74511
545,-7.84955
546,-7.95355
547,-8.05539
548,-8.15549
549,-8.25668
550,-8.35462
551,-8.44952
552,-8.54529
553,-8.63846
554,-8.73033
555,-8.82068
556,-8.90844
557,-8.99424
558,-9.07874
559,-9.16043
560,-9.2419
561,-9.32077
562,-9.39791
563,-9.47266
564,-9.54481
565,-9.61566
566,-9.68565
567,-9.75217
568,-9.81652
569,-9.87957
570,-9.94068
571,-9.99918
572,-10.0549
573,-10.1101
574,-10.1621
575,-10.213
576,-10.2598
577,-10.3066
578,-10.3493
579,-10.3909
580,-10.4304
581,-10.4685
582,-10.5045
583,-10.5391
584,-10.5723
585,-10.6018
586,-10.6314
587,-10.6574
588,-10.6837
589,-10.706
590,-10.7276
591,-10.748
592,-10.766
593,-10.7818
594,-10.7963
595,-10.8085
596,-10.8178
597,-10.8267
598,-10.8351
599,-10.8418
600,-10.8479
601,-10.8522
602,-10.8546
603,-10.8546
604,-10.8555
605,-10.8553
606,-10.8546
607,-10.852
608,-10.8479
609,-10.8427
610,-10.8342
611,-10.8256
612,-10.8139
613,-10.8009
614,-10.7874
615,-10.7727
616,-10.7573
617,-10.7413
618,-10.7237
619,-10.7062
620,-10.6863
621,-10.667
622,-10.647
623,-10.6269
624,-10.6054
625,-10.5853
626,-10.5634
627,-10.5417
628,-10.5201
629,-10.4949
630,-10.4724
631,-10.4499
632,-10.4273
633,-10.4063
634,-10.384
635,-10.361
636,-10.3363
637,-10.3134
638,-10.2897
639,-10.2663
640,-10.2432
641,-10.2193
642,-10.1951
643,-10.1723
644,-10.1487
645,-10.1253
646,-10.1019
647,-10.0778
648,-10.0538
649,-10.0319
650,-10.0096
651,-9.98835
652,-9.96863
653,-9.94761
654,-9.92746
655,-9.90731
656,-9.88846
657,-9.86982
658,-9.85249
659,-9.83472
660,-9.81674
661,-9.79919
662,-9.78294
663,-9.76712
664,-9.75109
665,-9.73743
666,-9.72443
667,-9.71187
668,-9.698
669,-9.68695
670,-9.67547
671,-9.66572
672,-9.65575
673,-9.64817
674,-9.63863
675,-9.63148
676,-9.62563
677,-9.61805
678,-9.61328
679,-9.60656
680,-9.60158
681,-9.59725
682,-9.59508
683,-9.59356
684,-9.59118
685,-9.59031
686,-9.58988
687,-9.5914
688,-9.58793
689,-9.58793
690,-9.58793
691,-9.58836
692,-9.58836
693,-9.5901
694,-9.59161
695,-9.594
696,-9.59898
697,-9.60266
698,-9.60895
699,-9.61545
700,-9.6226
701,-9.62975
702,-9.6369
703,-9.64513
704,-9.65337
705,-9.66095
706,-9.67048
707,-9.67438
708,-9.68608
709,-9.69562
710,-9.70428
711,-9.7136
712,-9.72335
713,-9.7318
714,-9.73939
715,-9.74762
716,-9.75672
717,-9.76409
718,-9.77232
719,-9.77947
720,-9.78575
721,-9.79182
722,-9.79745
723,-9.80309
724,-9.80742
725,-9.81175
726,-9.81522
727,-9.81847
728,-9.82151
729,-9.82237
730,-9.82237
731,-9.82519
732,-9.8254
733,-9.82562
734,-9.82562
735,-9.82584
736,-9.82432
737,-9.82345
738,-9.81869
739,-9.81306
740,-9.80807
741,-9.79897
742,-9.79117
743,-9.78034
744,-9.76799
745,-9.7552
746,-9.7396
747,-9.72335
748,-9.70688
749,-9.68998
750,-9.67222
751,-9.6525
752,-9.63213
753,-9.6096
754,-9.58663
755,-9.56323
756,-9.53701
757,-9.51101
758,-9.48393
759,-9.45467
760,-9.42499
761,-9.39487
762,-9.36259
763,-9.32749
764,-9.29152
765,-9.25555
766,-9.21785
767,-9.18101
768,-9.13985
769,-9.09868
770,-9.05643
771,-9.01266
772,-8.96737
773,-8.92122
774,-8.87377
775,-8.82567
776,-8.77757
777,-8.72665
778,-8.67616
779,-8.62438
780,-8.57064
781,-8.51582
782,-8.4623
783,-8.4064
784,-8.34942
785,-8.292
786,-8.23371
787,-8.17391
788,-8.11367
789,-8.05301
790,-7.99104
791,-7.9269
792,-7.86385
793,-7.7995
794,-7.73644
795,-7.67209
796,-7.60622
797,-7.53949
798,-7.47232
799,-7.4058
800,-7.33863
801,-7.27124
802,-7.20407
803,-7.13409
804,-7.06518
805,-6.99607
806,-6.92651
807,-6.85696
808,-6.78849
809,-6.71981
810,-6.65069
811,-6.58157
812,-6.51201
813,-6.44528
814,-6.37703
815,-6.30942
816,-6.24377
817,-6.1779
818,-6.11203
819,-6.0466
820,-5.98159
821,-5.91768
822,-5.85484
823,-5.79222
824,-5.72852
825,-5.66763
826,-5.60696
827,-5.5476
828,-5.48866
829,-5.42886
830,-5.37079
831,-5.31402
832,-5.26007
833,-5.20416
834,-5.15108
835,-5.09864
836,-5.04708
837,-4.99681
838,-4.94849
839,-4.90169
840,-4.85597
841,-4.81133
842,-4.768
843,-4.7277
844,-4.68718
845,-4.64861
846,-4.61048
847,-4.57602
848,-4.54136
849,-4.50951
850,-4.47982
851,-4.44992
852,-4.42349
853,-4.39705
854,-4.37322
855,-4.3496
856,-4.32967
857,-4.31038
858,-4.29413
859,-4.27896
860,-4.26683
861,-4.25556
862,-4.24581
863,-4.23758
864,-4.23194
865,-4.22935
866,-4.22978
867,-4.22891
868,-4.22783
869,-4.23021
870,-4.23238
871,-4.23801
872,-4.24646
873,-4.25838
874,-4.27203
875,-4.28893
876,-4.30886
877,-4.32945
878,-4.35307
879,-4.37777
880,-4.40442
881,-4.4328
882,-4.46379
883,-4.49694
884,-4.53117
885,-4.56779
886,-4.60419
887,-4.64341
888,-4.68436
889,-4.72661
890,-4.77168
891,-4.81718
892,-4.8668
893,-4.91555
894,-4.96647
895,-5.01761
896,-5.07156
897,-5.12573
898,-5.18206
899,-5.24165
900,-5.30124
901,-5.36277
902,-5.42409
903,-5.48823
904,-5.55453
905,-5.62061
906,-5.68908
907,-5.75604
908,-5.82515
909,-5.89514
910,-5.96751
911,-6.04031
912,-6.11463
913,-6.18895
914,-6.26305
915,-6.33976
916,-6.41776
917,-6.49598
918,-6.57528
919,-6.6548
920,-6.73454
921,-6.81319
922,-6.89379
923,-6.97678
924,-7.0602
925,-7.14362
926,-7.22617
927,-7.30959
928,-7.39301
929,-7.47622
930,-7.55964
931,-7.64349
932,-7.72799
933,-7.81163
934,-7.89592
935,-7.98107
936,-8.06362
937,-8.14856
938,-8.23241
939,-8.31648
940,-8.40077
941,-8.48527
942,-8.56739
943,-8.65211
944,-8.73596
945,-8.81917
946,-8.90064
947,-8.98297
948,-9.06509
949,-9.14656
950,-9.22933
951,-9.31037
952,-9.39011
953,-9.46833
954,-9.5485
955,-9.62606
956,-9.70385
957,-9.77839
958,-9.85487
959,-9.92898
960,-10.0035
961,-10.0761
962,-10.1485
963,-10.2195
964,-10.2889
965,-10.3586
966,-10.428
967,-10.4956
968,-10.563
969,-10.6291
970,-10.6943
971,-10.7588
972,-10.8195
973,-10.8813
974,-10.9406
975,-10.9998
976,-11.0581
977,-11.1144
978,-11.1707
979,-11.2249
980,-11.2789
981,-11.3311
982,-11.3835
983,-11.4336
984,-11.4821
985,-11.5302
986,-11.5766
987,-11.621
988,-11.6648
989,-11.7068
990,-11.746
991,-11.7859
992,-11.8236
993,-11.8602
994,-11.8947
995,-11.9291
996,-11.9607
997,-11.9913
998,-12.0214
999,-12.05
1000,-12.0782
1001,-12.1053
1002,-12.1308
1003,-12.1549
1004,-12.1776
1005,-12.1995
1006,-12.2194
1007,-12.2396
1008,-12.2574
1009,-12.2749
1010,-12.2914
1011,-12.3042
1012,-12.3191
1013,-12.3312
